Entity,Code,Year,Rule of law,World regions according to OWID
Mauritania,MRT,2019,4,
Mauritania,MRT,2021,4.25,
Mauritania,MRT,2023,4.25,Africa
Mauritius,MUS,2005,7.75,
Mauritius,MUS,2007,8,
Mauritius,MUS,2009,8.25,
Mauritius,MUS,2011,8,
Mauritius,MUS,2013,8,
Mauritius,MUS,2015,8.25,
Mauritius,MUS,2017,8.25,
Mauritius,MUS,2019,8.25,
Mauritius,MUS,2021,8.25,
Mauritius,MUS,2023,7.25,Africa
Mayotte,MYT,2023,,Africa
Mexico,MEX,2005,6.5,
Mexico,MEX,2007,6.5,
Mexico,MEX,2009,6.25,
Mexico,MEX,2011,5.75,
Mexico,MEX,2013,5.75,
Mexico,MEX,2015,5,
Mexico,MEX,2017,5,
Mexico,MEX,2019,5,
Mexico,MEX,2021,4.75,
Mexico,MEX,2023,4.75,North America
Micronesia (country),FSM,2023,,Oceania
Moldova,MDA,2005,4.75,
Moldova,MDA,2007,6,
Moldova,MDA,2009,5.75,
Moldova,MDA,2011,6.25,
Moldova,MDA,2013,6.5,
Moldova,MDA,2015,6.5,
Moldova,MDA,2017,5.5,
Moldova,MDA,2019,4.5,
Moldova,MDA,2021,5,
Moldova,MDA,2023,5.75,Europe
Monaco,MCO,2023,,Europe
Mongolia,MNG,2005,6.25,
Mongolia,MNG,2007,6,
Mongolia,MNG,2009,5.75,
Mongolia,MNG,2011,6,
Mongolia,MNG,2013,6.25,
Mongolia,MNG,2015,6.25,
Mongolia,MNG,2017,6.25,
Mongolia,MNG,2019,6.25,
Mongolia,MNG,2021,6.25,
Mongolia,MNG,2023,6.25,Asia
Montenegro,MNE,2007,6.75,
Montenegro,MNE,2009,6.5,
Montenegro,MNE,2011,6.5,
Montenegro,MNE,2013,6.75,
Montenegro,MNE,2015,7,
Montenegro,MNE,2017,7,
Montenegro,MNE,2019,6.75,
Montenegro,MNE,2021,6.5,
Montenegro,MNE,2023,6.75,Europe
Montserrat,MSR,2023,,North America
Morocco,MAR,2005,4.75,
Morocco,MAR,2007,4,
Morocco,MAR,2009,4,
Morocco,MAR,2011,3.5,
Morocco,MAR,2013,3.75,
Morocco,MAR,2015,3.25,
Morocco,MAR,2017,3.25,
Morocco,MAR,2019,3.25,
Morocco,MAR,2021,3,
Morocco,MAR,2023,3,Africa
Mozambique,MOZ,2005,5.75,
Mozambique,MOZ,2007,4.75,
Mozambique,MOZ,2009,5.25,
Mozambique,MOZ,2011,4.75,
Mozambique,MOZ,2013,4.5,
Mozambique,MOZ,2015,4.25,
Mozambique,MOZ,2017,3,
Mozambique,MOZ,2019,3,
Mozambique,MOZ,2021,2.75,
Mozambique,MOZ,2023,2.75,Africa
Myanmar,MMR,2005,1,
Myanmar,MMR,2007,1,
Myanmar,MMR,2009,1,
Myanmar,MMR,2011,1,
Myanmar,MMR,2013,2,
Myanmar,MMR,2015,2.75,
Myanmar,MMR,2017,3,
Myanmar,MMR,2019,2.75,
Myanmar,MMR,2021,3,
Myanmar,MMR,2023,1,Asia
Namibia,NAM,2005,7.75,
Namibia,NAM,2007,7.5,
Namibia,NAM,2009,7.25,
Namibia,NAM,2011,7.25,
Namibia,NAM,2013,7.25,
Namibia,NAM,2015,7.25,
Namibia,NAM,2017,6.75,
Namibia,NAM,2019,6.75,
Namibia,NAM,2021,6.75,
Namibia,NAM,2023,6.5,Africa
Nauru,NRU,2023,,Oceania
Nepal,NPL,2005,3.75,
Nepal,NPL,2007,4,
Nepal,NPL,2009,5,
Nepal,NPL,2011,4.25,
Nepal,NPL,2013,4.5,
Nepal,NPL,2015,4.25,
Nepal,NPL,2017,4.25,
Nepal,NPL,2019,5,
Nepal,NPL,2021,5,
Nepal,NPL,2023,5.5,Asia
Netherlands,NLD,2023,,Europe
Netherlands Antilles,ANT,2023,,North America
New Caledonia,NCL,2023,,Oceania
New Zealand,NZL,2023,,Oceania
Nicaragua,NIC,2005,5,
Nicaragua,NIC,2007,5,
Nicaragua,NIC,2009,4.5,
Nicaragua,NIC,2011,4,
Nicaragua,NIC,2013,4,
Nicaragua,NIC,2015,4,
Nicaragua,NIC,2017,3.75,
Nicaragua,NIC,2019,2.5,
Nicaragua,NIC,2021,2,
Nicaragua,NIC,2023,2,North America
Niger,NER,2005,6.25,
Niger,NER,2007,6,
Niger,NER,2009,5.75,
Niger,NER,2011,5.75,
Niger,NER,2013,6,
Niger,NER,2015,6,
Niger,NER,2017,6,
Niger,NER,2019,5.5,
Niger,NER,2021,5,
Niger,NER,2023,5,Africa
Nigeria,NGA,2005,5.25,
Nigeria,NGA,2007,5.5,
Nigeria,NGA,2009,5.25,
Nigeria,NGA,2011,5.75,
Nigeria,NGA,2013,5.75,
Nigeria,NGA,2015,5.5,
Nigeria,NGA,2017,5.25,
Nigeria,NGA,2019,5.25,
Nigeria,NGA,2021,4.75,
Nigeria,NGA,2023,4.5,Africa
Niue,NIU,2023,,Oceania
Norfolk Island,NFK,2023,,Oceania
North Korea,PRK,2005,1.25,
North Korea,PRK,2007,1,
North Korea,PRK,2009,1,
North Korea,PRK,2011,1,
North Korea,PRK,2013,1,
North Korea,PRK,2015,1,
North Korea,PRK,2017,1,
North Korea,PRK,2019,1.25,
North Korea,PRK,2021,1.25,
North Korea,PRK,2023,1.25,Asia
North Macedonia,MKD,2005,7,
North Macedonia,MKD,2007,6.75,
North Macedonia,MKD,2009,7.25,
North Macedonia,MKD,2011,6.75,
North Macedonia,MKD,2013,6.75,
North Macedonia,MKD,2015,6.25,
North Macedonia,MKD,2017,6,
North Macedonia,MKD,2019,6.5,
North Macedonia,MKD,2021,7,
North Macedonia,MKD,2023,7.5,Europe
Northern Mariana Islands,MNP,2023,,Oceania
Norway,NOR,2023,,Europe
Oman,OMN,2007,4.25,
Oman,OMN,2009,4,
Oman,OMN,2011,3.5,
Oman,OMN,2013,2.5,
Oman,OMN,2015,2.25,
Oman,OMN,2017,2,
Oman,OMN,2019,1.75,
Oman,OMN,2021,2,
Oman,OMN,2023,1.75,Asia
Orange Free State,,2023,,Africa
Pakistan,PAK,2005,4,
Pakistan,PAK,2007,3.75,
Pakistan,PAK,2009,3.25,
Pakistan,PAK,2011,2.75,
Pakistan,PAK,2013,3,
Pakistan,PAK,2015,3.25,
Pakistan,PAK,2017,3.25,
Pakistan,PAK,2019,3.25,
Pakistan,PAK,2021,3.25,
Pakistan,PAK,2023,3.25,Asia
Pakistan (former),,2023,,Asia
Palau,PLW,2023,,Oceania
Palestine,PSE,2023,,Asia
Panama,PAN,2005,6,
Panama,PAN,2007,6.25,
Panama,PAN,2009,6.25,
Panama,PAN,2011,6,
Panama,PAN,2013,5.5,
Panama,PAN,2015,6,
Panama,PAN,2017,6,
Panama,PAN,2019,6,
Panama,PAN,2021,5.5,
Panama,PAN,2023,5.25,North America
Papua New Guinea,PNG,2005,6.25,
Papua New Guinea,PNG,2007,5.75,
Papua New Guinea,PNG,2009,6.5,
Papua New Guinea,PNG,2011,6.25,
Papua New Guinea,PNG,2013,5.5,
Papua New Guinea,PNG,2015,5.5,
Papua New Guinea,PNG,2017,5.75,
Papua New Guinea,PNG,2019,5.75,
Papua New Guinea,PNG,2021,6,
Papua New Guinea,PNG,2023,6,Oceania
Paraguay,PRY,2005,5.25,
Paraguay,PRY,2007,5.75,
Paraguay,PRY,2009,6.25,
Paraguay,PRY,2011,6.25,
Paraguay,PRY,2013,5.5,
Paraguay,PRY,2015,5.75,
Paraguay,PRY,2017,5.5,
Paraguay,PRY,2019,5.75,
Paraguay,PRY,2021,5.75,
Paraguay,PRY,2023,5.75,South America
Peru,PER,2005,6.25,
Peru,PER,2007,6.25,
Peru,PER,2009,6.25,
Peru,PER,2011,6,
Peru,PER,2013,6.25,
Peru,PER,2015,6.25,
Peru,PER,2017,6.5,
Peru,PER,2019,6.25,
Peru,PER,2021,6,
Peru,PER,2023,5.75,South America
Philippines,PHL,2005,6.5,
Philippines,PHL,2007,6.5,
Philippines,PHL,2009,5.75,
Philippines,PHL,2011,6,
Philippines,PHL,2013,6.5,
Philippines,PHL,2015,6,
Philippines,PHL,2017,5.5,
Philippines,PHL,2019,4.75,
Philippines,PHL,2021,4.5,
Philippines,PHL,2023,4.25,Asia
Pitcairn,PCN,2023,,Oceania
Poland,POL,2005,9.25,
Poland,POL,2007,8.75,
Poland,POL,2009,8.75,
Poland,POL,2011,9.25,
Poland,POL,2013,9.25,
Poland,POL,2015,9.25,
Poland,POL,2017,8,
Poland,POL,2019,6.75,
Poland,POL,2021,6.25,
Poland,POL,2023,6,Europe
Portugal,PRT,2023,,Europe
Puerto Rico,PRI,2023,,North America
Qatar,QAT,2009,4.5,
Qatar,QAT,2011,4,
Qatar,QAT,2013,4,
Qatar,QAT,2015,3.75,
Qatar,QAT,2017,3.75,
Qatar,QAT,2019,3.75,
Qatar,QAT,2021,3.75,
Qatar,QAT,2023,3.75,Asia
Republic of Vietnam,OWID_RVN,2023,,Asia
Reunion,REU,2023,,Africa
Romania,ROU,2005,7.25,
Romania,ROU,2007,8.25,
Romania,ROU,2009,8.25,
Romania,ROU,2011,8.25,
Romania,ROU,2013,7.5,
Romania,ROU,2015,8.25,
Romania,ROU,2017,8.25,
Romania,ROU,2019,6.75,
Romania,ROU,2021,7.5,
Romania,ROU,2023,7.25,Europe
Russia,RUS,2005,4.75,
Russia,RUS,2007,4.25,
Russia,RUS,2009,4.25,
Russia,RUS,2011,4.25,
Russia,RUS,2013,4.25,
Russia,RUS,2015,4,
Russia,RUS,2017,4.25,
Russia,RUS,2019,4,
Russia,RUS,2021,3.5,
Russia,RUS,2023,2.5,Europe
Rwanda,RWA,2005,4,
Rwanda,RWA,2007,3,
Rwanda,RWA,2009,4,
Rwanda,RWA,2011,4,
Rwanda,RWA,2013,4,
Rwanda,RWA,2015,3.75,
Rwanda,RWA,2017,3.75,
Rwanda,RWA,2019,3.75,
Rwanda,RWA,2021,3.5,
Rwanda,RWA,2023,3.25,Africa
Saint Barthelemy,BLM,2023,,North America
Saint Helena,SHN,2023,,Africa
Saint Kitts and Nevis,KNA,2023,,North America
Saint Lucia,LCA,2023,,North America
Saint Martin (French part),MAF,2023,,North America
Saint Pierre and Miquelon,SPM,2023,,North America
Saint Vincent and the Grenadines,VCT,2023,,North America
Samoa,WSM,2023,,Oceania
San Marino,SMR,2023,,Europe
Sao Tome and Principe,STP,2023,,Africa
Saudi Arabia,SAU,2005,2.25,
Saudi Arabia,SAU,2007,3,
Saudi Arabia,SAU,2009,3.25,
Saudi Arabia,SAU,2011,3.25,
Saudi Arabia,SAU,2013,3,
Saudi Arabia,SAU,2015,2.25,
Saudi Arabia,SAU,2017,2.25,
Saudi Arabia,SAU,2019,2.25,
Saudi Arabia,SAU,2021,2.25,
Saudi Arabia,SAU,2023,2.25,Asia
Senegal,SEN,2005,6.75,
Senegal,SEN,2007,6,
Senegal,SEN,2009,5.25,
Senegal,SEN,2011,5.25,
Senegal,SEN,2013,6.5,
Senegal,SEN,2015,6.5,
Senegal,SEN,2017,6.25,
Senegal,SEN,2019,6,
Senegal,SEN,2021,5.25,
Senegal,SEN,2023,5.25,Africa
Serbia,SRB,2005,6.75,
Serbia,SRB,2007,7,
Serbia,SRB,2009,6.75,
Serbia,SRB,2011,7,
Serbia,SRB,2013,7.25,
Serbia,SRB,2015,7.25,
Serbia,SRB,2017,6.75,
Serbia,SRB,2019,6,
Serbia,SRB,2021,5.25,
Serbia,SRB,2023,5.25,Europe
Serbia and Montenegro,OWID_SRM,2023,,Europe
Seychelles,SYC,2023,,Africa
Sierra Leone,SLE,2005,4.75,
Sierra Leone,SLE,2007,4.5,
Sierra Leone,SLE,2009,5,
Sierra Leone,SLE,2011,5,
Sierra Leone,SLE,2013,5.5,
Sierra Leone,SLE,2015,5.5,
Sierra Leone,SLE,2017,4.75,
Sierra Leone,SLE,2019,4.75,
Sierra Leone,SLE,2021,4.25,
Sierra Leone,SLE,2023,4.25,Africa
Singapore,SGP,2005,6,
Singapore,SGP,2007,6.25,
Singapore,SGP,2009,6.25,
Singapore,SGP,2011,6,
Singapore,SGP,2013,6,
Singapore,SGP,2015,5.75,
Singapore,SGP,2017,5.75,
Singapore,SGP,2019,5.75,
Singapore,SGP,2021,5.75,
Singapore,SGP,2023,6,Asia
Sint Maarten (Dutch part),SXM,2023,,North America
Slovakia,SVK,2005,9,
Slovakia,SVK,2007,9.25,
Slovakia,SVK,2009,9.25,
Slovakia,SVK,2011,8.5,
Slovakia,SVK,2013,8.5,
Slovakia,SVK,2015,8.25,
Slovakia,SVK,2017,8,
Slovakia,SVK,2019,8,
Slovakia,SVK,2021,8.25,
Slovakia,SVK,2023,8,Europe
Slovenia,SVN,2005,9.5,
Slovenia,SVN,2007,9.75,
Slovenia,SVN,2009,9.75,
Slovenia,SVN,2011,9.5,
Slovenia,SVN,2013,9,
Slovenia,SVN,2015,9.25,
Slovenia,SVN,2017,9.25,
Slovenia,SVN,2019,9,
Slovenia,SVN,2021,8.5,
Slovenia,SVN,2023,9,Europe
Solomon Islands,SLB,2023,,Oceania
Somalia,SOM,2005,1,
Somalia,SOM,2007,1,
Somalia,SOM,2009,1,
Somalia,SOM,2011,1,
Somalia,SOM,2013,1,
Somalia,SOM,2015,1,
Somalia,SOM,2017,1,
Somalia,SOM,2019,1,
Somalia,SOM,2021,1.25,
Somalia,SOM,2023,1,Africa
South Africa,ZAF,2005,8,
South Africa,ZAF,2007,8,
South Africa,ZAF,2009,6.75,
South Africa,ZAF,2011,7,
South Africa,ZAF,2013,7.25,
South Africa,ZAF,2015,7.25,
South Africa,ZAF,2017,7.5,
South Africa,ZAF,2019,7.25,
South Africa,ZAF,2021,7.25,
South Africa,ZAF,2023,7.25,Africa
South Georgia and the South Sandwich Islands,SGS,2023,,South America
South Korea,KOR,2005,8.5,
South Korea,KOR,2007,8.25,
South Korea,KOR,2009,8.75,
South Korea,KOR,2011,8.5,
South Korea,KOR,2013,8.25,
South Korea,KOR,2015,8.25,
South Korea,KOR,2017,8.25,
South Korea,KOR,2019,8.5,
South Korea,KOR,2021,8.5,
South Korea,KOR,2023,8.5,Asia
South Sudan,SSD,2013,3,
South Sudan,SSD,2015,2.75,
South Sudan,SSD,2017,2.25,
South Sudan,SSD,2019,2.25,
South Sudan,SSD,2021,2.25,
South Sudan,SSD,2023,2.25,Africa
Spain,ESP,2023,,Europe
Sri Lanka,LKA,2005,6,
Sri Lanka,LKA,2007,6.25,
Sri Lanka,LKA,2009,5,
Sri Lanka,LKA,2011,3.75,
Sri Lanka,LKA,2013,3,
Sri Lanka,LKA,2015,3.25,
Sri Lanka,LKA,2017,6,
Sri Lanka,LKA,2019,6.5,
Sri Lanka,LKA,2021,5.75,
Sri Lanka,LKA,2023,5.5,Asia
Sudan,SDN,2005,2.5,
Sudan,SDN,2007,1.5,
Sudan,SDN,2009,1.75,
Sudan,SDN,2011,2.5,
Sudan,SDN,2013,2.25,
Sudan,SDN,2015,2,
Sudan,SDN,2017,1.75,
Sudan,SDN,2019,1,
Sudan,SDN,2021,2.5,
Sudan,SDN,2023,1.25,Africa
Sudan (former),,2023,,Africa
Suriname,SUR,2023,,South America
Sweden,SWE,2023,,Europe
Switzerland,CHE,2023,,Europe
Syria,SYR,2005,2.5,
Syria,SYR,2007,1.5,
Syria,SYR,2009,2.25,
Syria,SYR,2011,2.25,
Syria,SYR,2013,1.5,
Syria,SYR,2015,1.5,
Syria,SYR,2017,1.5,
Syria,SYR,2019,1.5,
Syria,SYR,2021,1.5,
Syria,SYR,2023,1.5,Asia
Taiwan,TWN,2005,9.75,
Taiwan,TWN,2007,9.75,
Taiwan,TWN,2009,9.75,
Taiwan,TWN,2011,10,
Taiwan,TWN,2013,10,
Taiwan,TWN,2015,10,
Taiwan,TWN,2017,10,
Taiwan,TWN,2019,10,
Taiwan,TWN,2021,10,
Taiwan,TWN,2023,10,Asia
Tajikistan,TJK,2005,3.5,
Tajikistan,TJK,2007,3.25,
Tajikistan,TJK,2009,2.75,
Tajikistan,TJK,2011,2.75,
Tajikistan,TJK,2013,3,
Tajikistan,TJK,2015,2.75,
Tajikistan,TJK,2017,2,
Tajikistan,TJK,2019,2,
Tajikistan,TJK,2021,2,
Tajikistan,TJK,2023,2,Asia
Tanzania,TZA,2005,5.75,
Tanzania,TZA,2007,6.25,
Tanzania,TZA,2009,6,
Tanzania,TZA,2011,6,
Tanzania,TZA,2013,5.5,
Tanzania,TZA,2015,5.5,
Tanzania,TZA,2017,5.5,
Tanzania,TZA,2019,5,
Tanzania,TZA,2021,4.25,
Tanzania,TZA,2023,4.25,Africa
Thailand,THA,2005,6.5,
Thailand,THA,2007,5.75,
Thailand,THA,2009,5.5,
Thailand,THA,2011,4.75,
Thailand,THA,2013,4.5,
Thailand,THA,2015,3.25,
Thailand,THA,2017,3,
Thailand,THA,2019,3.25,
Thailand,THA,2021,3,
Thailand,THA,2023,2.75,Asia
Togo,TGO,2005,2.5,
Togo,TGO,2007,2.75,
Togo,TGO,2009,4,
Togo,TGO,2011,4.25,
Togo,TGO,2013,4.25,
Togo,TGO,2015,4,
Togo,TGO,2017,4.25,
Togo,TGO,2019,4,
Togo,TGO,2021,3.75,
Togo,TGO,2023,3.75,Africa
Tokelau,TKL,2023,,Oceania
Tonga,TON,2023,,Oceania
Trinidad and Tobago,TTO,2019,7.25,
Trinidad and Tobago,TTO,2021,7.25,
Trinidad and Tobago,TTO,2023,6.75,North America
Tunisia,TUN,2005,3.5,
Tunisia,TUN,2007,3.5,
Tunisia,TUN,2009,3.75,
Tunisia,TUN,2011,3.5,
Tunisia,TUN,2013,5,
Tunisia,TUN,2015,5.5,
Tunisia,TUN,2017,5.75,
Tunisia,TUN,2019,5.5,
Tunisia,TUN,2021,5.75,
Tunisia,TUN,2023,4.25,Africa
Turkey,TUR,2005,6.25,
Turkey,TUR,2007,6.75,
Turkey,TUR,2009,7.25,
Turkey,TUR,2011,7.5,
Turkey,TUR,2013,7.25,
Turkey,TUR,2015,6.25,
Turkey,TUR,2017,4.25,
Turkey,TUR,2019,3.5,
Turkey,TUR,2021,3.5,
Turkey,TUR,2023,3.25,Asia
Turkmenistan,TKM,2005,2,
Turkmenistan,TKM,2007,2.25,
Turkmenistan,TKM,2009,2.25,
Turkmenistan,TKM,2011,2.25,
Turkmenistan,TKM,2013,2.25,
Turkmenistan,TKM,2015,2.25,
Turkmenistan,TKM,2017,2.25,
Turkmenistan,TKM,2019,1.75,
Turkmenistan,TKM,2021,1.75,
Turkmenistan,TKM,2023,1.75,Asia
Turks and Caicos Islands,TCA,2023,,North America
Tuvalu,TUV,2023,,Oceania
USSR,OWID_USS,2023,,Europe
Uganda,UGA,2005,6.25,
Uganda,UGA,2007,6.5,
Uganda,UGA,2009,6.5,
Uganda,UGA,2011,6,
Uganda,UGA,2013,6.25,
Uganda,UGA,2015,5.75,
Uganda,UGA,2017,5.5,
Uganda,UGA,2019,5.25,
Uganda,UGA,2021,4.75,
Uganda,UGA,2023,4.25,Africa
Ukraine,UKR,2005,7,
Ukraine,UKR,2007,6.75,
Ukraine,UKR,2009,6.25,
Ukraine,UKR,2011,5,
Ukraine,UKR,2013,5,
Ukraine,UKR,2015,6.25,
Ukraine,UKR,2017,6.25,
Ukraine,UKR,2019,6.25,
Ukraine,UKR,2021,5.5,
Ukraine,UKR,2023,6.25,Europe
United Arab Emirates,ARE,2005,3.75,
United Arab Emirates,ARE,2007,4.25,
United Arab Emirates,ARE,2009,4.5,
United Arab Emirates,ARE,2011,4.5,
United Arab Emirates,ARE,2013,4.25,
United Arab Emirates,ARE,2015,4,
United Arab Emirates,ARE,2017,4,
United Arab Emirates,ARE,2019,4.25,
United Arab Emirates,ARE,2021,4.5,
United Arab Emirates,ARE,2023,4.5,Asia
United Kingdom,GBR,2023,,Europe
United States,USA,2023,,North America
United States Virgin Islands,VIR,2023,,North America
Uruguay,URY,2005,10,
Uruguay,URY,2007,10,
Uruguay,URY,2009,10,
Uruguay,URY,2011,10,
Uruguay,URY,2013,10,
Uruguay,URY,2015,10,
Uruguay,URY,2017,10,
Uruguay,URY,2019,10,
Uruguay,URY,2021,10,
Uruguay,URY,2023,10,South America
Uzbekistan,UZB,2005,2.5,
Uzbekistan,UZB,2007,2.25,
Uzbekistan,UZB,2009,2.25,
Uzbekistan,UZB,2011,2.25,
Uzbekistan,UZB,2013,2.25,
Uzbekistan,UZB,2015,2.25,
Uzbekistan,UZB,2017,2.25,
Uzbekistan,UZB,2019,3.25,
Uzbekistan,UZB,2021,3.5,
Uzbekistan,UZB,2023,3.5,Asia
Vanuatu,VUT,2023,,Oceania
Vatican,VAT,2023,,Europe
Venezuela,VEN,2005,4,
Venezuela,VEN,2007,3.75,
Venezuela,VEN,2009,3.25,
Venezuela,VEN,2011,2.75,
Venezuela,VEN,2013,3.25,
Venezuela,VEN,2015,2.75,
Venezuela,VEN,2017,2.5,
Venezuela,VEN,2019,1.75,
Venezuela,VEN,2021,1.75,
Venezuela,VEN,2023,1.75,South America
Vietnam,VNM,2005,2.25,
Vietnam,VNM,2007,2,
Vietnam,VNM,2009,2.25,
Vietnam,VNM,2011,2.5,
Vietnam,VNM,2013,2.5,
Vietnam,VNM,2015,2.5,
Vietnam,VNM,2017,2.75,
Vietnam,VNM,2019,3,
Vietnam,VNM,2021,2.75,
Vietnam,VNM,2023,2.75,Asia
Wallis and Futuna,WLF,2023,,Oceania
West Germany,OWID_GFR,2023,,Europe
Western Sahara,ESH,2023,,Africa
Yemen,YEM,2005,3.75,
Yemen,YEM,2007,4,
Yemen,YEM,2009,4,
Yemen,YEM,2011,4,
Yemen,YEM,2013,3.25,
Yemen,YEM,2015,3,
Yemen,YEM,2017,2,
Yemen,YEM,2019,1.25,
Yemen,YEM,2021,1.25,
Yemen,YEM,2023,1.25,Asia
Yemen Arab Republic,OWID_YAR,2023,,Asia
Yemen People's Republic,OWID_YPR,2023,,Asia
Yugoslavia,OWID_YGS,2023,,Europe
Zambia,ZMB,2005,6.5,
Zambia,ZMB,2007,6,
Zambia,ZMB,2009,6.25,
Zambia,ZMB,2011,6,
Zambia,ZMB,2013,5.5,
Zambia,ZMB,2015,5.25,
Zambia,ZMB,2017,5,
Zambia,ZMB,2019,4.25,
Zambia,ZMB,2021,4,
Zambia,ZMB,2023,4.25,Africa
Zimbabwe,ZWE,2005,3.25,
Zimbabwe,ZWE,2007,2.75,
Zimbabwe,ZWE,2009,2.75,
Zimbabwe,ZWE,2011,3,
Zimbabwe,ZWE,2013,3.5,
Zimbabwe,ZWE,2015,3.25,
Zimbabwe,ZWE,2017,2.75,
Zimbabwe,ZWE,2019,3.25,
Zimbabwe,ZWE,2021,3,
Zimbabwe,ZWE,2023,2.75,Africa
